,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
243,KIC 7870390,3,1,0.040437,0.508,4.73,20.09017037,4.154,2454980.97788
244,KIC 7907423,1,1,0.025862,0.44,4.855,7.11373257,2.1764,2455007.32351
245,KIC 7907423,2,1,0.020275,0.44,4.855,3.306551643,1.8177,2454967.37211
246,KIC 7907423,3,1,0.02471,0.44,4.855,15.36845737,2.4714,2454980.38965
247,KIC 7938496,1,1,0.036595,1.009,4.327,13.81020318,3.048,2455005.33533
248,KIC 8490993,1,1,0.026123,1.077,4.471,4.093578461,2.5833,2455004.00954
249,KIC 8490993,2,1,0.031397,1.077,4.471,105.145959,8.593,2455011.367
250,KIC 8505670,1,1,0.036303,0.609,4.682,10.8484518,2.9993,2455004.80584
251,KIC 8505670,2,1,0.018246,0.609,4.682,6.66833241,1.915,2454970.43988
252,KIC 8544996,1,1,0.121652,0.886,4.581,4.082274889,3.23015,2455002.6375652
253,KIC 8552202,1,2,0.023262,0.813,4.61,3.886655224,3.1646,2455002.73814
254,KIC 8150320,3,1,0.026274,0.71,4.656,42.1406089,5.083,2454972.0604
255,KIC 8150320,4,1,0.023024,0.71,4.656,4.617490562,2.2618,2454968.04909
256,KIC 8150320,5,1,0.024778,0.71,4.656,10.19849255,2.4283,2454970.92067
257,KIC 8180063,1,0,0.047975,0.914,4.563,5.795063956,3.2496,2455005.697467
258,KIC 8226994,1,1,0.026979,0.798,4.494,7.15681552,2.5882,2455007.13511
259,KIC 8226994,2,1,0.026581,0.798,4.494,17.64830851,2.0873,2454966.54533
260,KIC 8226994,3,1,0.011755,0.798,4.494,4.14810719,2.535,2454966.3881
261,KIC 8247638,1,1,0.028718,0.841,4.488,16.51410989,4.1575,2455009.11686
262,KIC 8247638,2,1,0.03322,0.841,4.488,30.1329298,5.172,2455023.38336
263,KIC 8247638,3,1,0.014349,0.841,4.488,4.79090809,2.603,2454969.31106
264,KIC 11086270,2,1,0.017414,1.019,4.024,31.71981013,4.819,2454975.82083
265,KIC 8247638,4,1,0.027879,0.841,4.488,99.6415962,4.448,2455031.68664
266,KIC 8255887,1,1,0.080242,0.94,4.246,4.708326451,3.16114,2455004.446507
267,KIC 8256049,1,0,8.358793,0.58,4.656,16.37198661,3.8449,2455005.75926
268,KIC 8414716,1,1,0.030649,0.915,4.589,5.392026903,2.9804,2455004.72707
